;name;unit;threshold;WUH_measured;name;unit;threshold;TIE_measured;name;unit;threshold;TEG_measured;name;unit;threshold;STO_measured;name;unit;threshold;SPA_measured;name;unit;threshold;KAU_measured;name;unit;threshold;BEE_measured;name;unit;threshold;KLA_measured
57;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;0,000025;Isoproturon;mg/l;0,0001;<0,000025;Isoproturon;mg/l;0,0001;<0,000025
58;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;0,000025;Metamitron;mg/l;0,0001;<0,000025;Metamitron;mg/l;0,0001;<0,000025
59;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;0,000025;Metazachlor;mg/l;0,0001;<0,000025;Metazachlor;mg/l;0,0001;<0,000025
60;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;0,000025;Methyldesphenylchloridazon;mg/l;0,0001;<0,000025;Methyldesphenylchloridazon;mg/l;0,0001;<0,000025
61;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;0,000025;Metolachlor;mg/l;0,0001;<0,000025;Metolachlor;mg/l;0,0001;<0,000025
62;Metribuzin;mg/l;0,0001;0,000025;Metribuzin;mg/l;0,0001;0,000025;Metribuzin;mg/l;0,0001;0,000025;Metribuzin;mg/l;0,0001;0,000025;Metribuzin;mg/l;0,0001;0,000025;Metribuzin;mg/l;0,0001;0,000025;Metribuzin;mg/l;0,0001;<0,000025;Metribuzin;mg/l;0,0001;<0,000025
63;Simazin;mg/l;0,0001;0,000025;Simazin;mg/l;0,0001;0,000025;Simazin;mg/l;0,0001;0,000025;Simazin;mg/l;0,0001;0,000025;Simazin;mg/l;0,0001;0,000025;Simazin;mg/l;0,0001;0,000025;Simazin;mg/l;0,0001;<0,000025;Simazin;mg/l;0,0001;<0,000025
64;Terbuthylazin;mg/l;0,0001;0,000025;Terbuthylazin;mg/l;0,0001;0,000025;Terbuthylazin;mg/l;0,0001;0,000025;Terbuthylazin;mg/l;0,0001;0,000025;Terbuthylazin;mg/l;0,0001;0,000025;Terbuthylazin;mg/l;0,0001;0,000025;Terbuthylazin;mg/l;0,0001;<0,000025;Terbuthylazin;mg/l;0,0001;<0,000025
65;Mecoprop;mg/l;0,0001;0,00002;Mecoprop;mg/l;0,0001;0,00002;Mecoprop;mg/l;0,0001;0,00002;Mecoprop;mg/l;0,0001;0,00002;Mecoprop;mg/l;0,0001;0,00002;Mecoprop;mg/l;0,0001;0,00002;Mecoprop;mg/l;0,0001;<0,00002;Mecoprop;mg/l;0,0001;<0,00002
66;MCPA;mg/l;0,0001;0,00002;MCPA;mg/l;0,0001;0,00002;MCPA;mg/l;0,0001;0,00002;MCPA;mg/l;0,0001;0,00002;MCPA;mg/l;0,0001;0,00002;MCPA;mg/l;0,0001;0,00002;MCPA;mg/l;0,0001;<0,00002;MCPA;mg/l;0,0001;<0,00002
67;Dichlorprop;mg/l;0,0001;0,00002;Dichlorprop;mg/l;0,0001;0,00002;Dichlorprop;mg/l;0,0001;0,00002;Dichlorprop;mg/l;0,0001;0,00002;Dichlorprop;mg/l;0,0001;0,00002;Dichlorprop;mg/l;0,0001;0,00002;Dichlorprop;mg/l;0,0001;<0,00002;Dichlorprop;mg/l;0,0001;<0,00002
68;2,4-D;mg/l;0,0001;0,00002;2,4-D;mg/l;0,0001;0,00002;2,4-D;mg/l;0,0001;0,00002;2,4-D;mg/l;0,0001;0,00002;2,4-D;mg/l;0,0001;0,00002;2,4-D;mg/l;0,0001;0,00002;2,4-D;mg/l;0,0001;<0,00002;2,4-D;mg/l;0,0001;<0,00002
69;p,p-DDA;mg/l;0,0001;0,000025;p,p-DDA;mg/l;0,0001;0,000025;p,p-DDA;mg/l;0,0001;0,000025;p,p-DDA;mg/l;0,0001;0,000025;p,p-DDA;mg/l;0,0001;0,000025;p,p-DDA;mg/l;0,0001;0,000025;p,p-DDA;mg/l;0,0001;<0,000025;p,p-DDA;mg/l;0,0001;<0,000025
70;o,p-DDA;mg/l;0,0001;0,000025;o,p-DDA;mg/l;0,0001;0,000025;o,p-DDA;mg/l;0,0001;0,000025;o,p-DDA;mg/l;0,0001;0,000025;o,p-DDA;mg/l;0,0001;0,000025;o,p-DDA;mg/l;0,0001;0,000025;o,p-DDA;mg/l;0,0001;<0,000025;o,p-DDA;mg/l;0,0001;<0,000025
71;Bentazon;mg/l;0,0001;0,00002;Bentazon;mg/l;0,0001;0,00002;Bentazon;mg/l;0,0001;0,00002;Bentazon;mg/l;0,0001;0,00002;Bentazon;mg/l;0,0001;0,00002;Bentazon;mg/l;0,0001;0,00002;Bentazon;mg/l;0,0001;<0,00002;Bentazon;mg/l;0,0001;<0,00002
72;Glyphosat;mg/l;0,0001;0,00002;Glyphosat;mg/l;0,0001;0,00002;Glyphosat;mg/l;0,0001;0,00002;Glyphosat;mg/l;0,0001;0,00002;Glyphosat;mg/l;0,0001;0,00002;Glyphosat;mg/l;0,0001;0,00002;Glyphosat;mg/l;0,0001;<0,00002;Glyphosat;mg/l;0,0001;<0,00002
73;Quecksilber;mg/l;0,001;0,0001;Quecksilber;mg/l;0,001;0,0001;Quecksilber;mg/l;0,001;0,0001;Quecksilber;mg/l;0,001;0,0001;Quecksilber;mg/l;0,001;0,0001;Quecksilber;mg/l;0,001;0,0001;Quecksilber;mg/l;0,001;<0,0001;Quecksilber;mg/l;0,001;<0,0001
74;Selen;mg/l;0,01;0,001;Selen;mg/l;0,01;0,001;Selen;mg/l;0,01;0,001;Selen;mg/l;0,01;0,001;Selen;mg/l;0,01;0,001;Selen;mg/l;0,01;0,001;Selen;mg/l;0,01;<0,001;Selen;mg/l;0,01;<0,001
75;Uran;mg/l;0,01;0,00030;Uran;mg/l;0,01;0,00011;Uran;mg/l;0,01;0,00044;Uran;mg/l;0,01;0,00014;Uran;mg/l;0,01;0,00023;Uran;mg/l;0,01;0,00030;Uran;mg/l;0,01;0,00008;Uran;mg/l;0,01;<0,00005
76;Antimon;mg/l;0,005;0,0005;Antimon;mg/l;0,005;0,0005;Antimon;mg/l;0,005;0,0005;Antimon;mg/l;0,005;0,0005;Antimon;mg/l;0,005;0,0005;Antimon;mg/l;0,005;0,0005;Antimon;mg/l;0,005;<0,0005;Antimon;mg/l;0,005;<0,0005
77;Arsen;mg/l;0,01;0,0003;Arsen;mg/l;0,01;0,0003;Arsen;mg/l;0,01;0,0019;Arsen;mg/l;0,01;0,00041;Arsen;mg/l;0,01;0,00033;Arsen;mg/l;0,01;0,0003;Arsen;mg/l;0,01;<0,0003;Arsen;mg/l;0,01;<0,0003
78;Benzo[a]pyren;mg/l;0,00001;0,000005;Benzo[a]pyren;mg/l;0,00001;0,000005;Benzo[a]pyren;mg/l;0,00001;0,000005;Benzo[a]pyren;mg/l;0,00001;0,000005;Benzo[a]pyren;mg/l;0,00001;0,000005;Benzo[a]pyren;mg/l;0,00001;0,000005;Benzo[a]pyren;mg/l;0,00001;<0,000005;Benzo[a]pyren;mg/l;0,00001;<0,000005
79;Blei;mg/l;0,010;0,00050;Blei;mg/l;0,010;0,00050;Blei;mg/l;0,010;0,00050;Blei;mg/l;0,010;0,00050;Blei;mg/l;0,010;0,00050;Blei;mg/l;0,010;0,00050;Blei;mg/l;0,010;<0,00050;Blei;mg/l;0,010;<0,00050
80;Cadmium;mg/l;0,003;0,0005;Cadmium;mg/l;0,003;0,0005;Cadmium;mg/l;0,003;0,0005;Cadmium;mg/l;0,003;0,0005;Cadmium;mg/l;0,003;0,0005;Cadmium;mg/l;0,003;0,0005;Cadmium;mg/l;0,003;<0,0005;Cadmium;mg/l;0,003;<0,0005
81;Kupfer;mg/l;2,0;0,005;Kupfer;mg/l;2,0;0,005;Kupfer;mg/l;2,0;0,005;Kupfer;mg/l;2,0;0,005;Kupfer;mg/l;2,0;0,005;Kupfer;mg/l;2,0;0,005;Kupfer;mg/l;2,0;<0,005;Kupfer;mg/l;2,0;<0,005
82;Nickel;mg/l;0,02;0,003;Nickel;mg/l;0,02;0,003;Nickel;mg/l;0,02;0,003;Nickel;mg/l;0,02;0,003;Nickel;mg/l;0,02;0,003;Nickel;mg/l;0,02;0,003;Nickel;mg/l;0,02;<0,003;Nickel;mg/l;0,02;<0,003
83;Nitrit;mg/l;0,10;0,03;Nitrit;mg/l;0,10;0,03;Nitrit;mg/l;0,10;0,03;Nitrit;mg/l;0,10;0,03;Nitrit;mg/l;0,10;0,03;Nitrit;mg/l;0,10;0,03;Nitrit;mg/l;0,10;<0,03;Nitrit;mg/l;0,10;<0,03
84;Trihalogenmethane;mg/l;0,01;0,0005;Trihalogenmethane;mg/l;0,01;0,0005;Trihalogenmethane;mg/l;0,01;0,0005;Trihalogenmethane;mg/l;0,01;0,0005;Trihalogenmethane;mg/l;0,01;0,0005;Trihalogenmethane;mg/l;0,01;0,0005;Trihalogenmethane;mg/l;0,01;<0,0005;Trihalogenmethane;mg/l;0,01;<0,0005
85;Vinylchlorid;mg/l;0,0005;0,0001;Vinylchlorid;mg/l;0,0005;0,0001;Vinylchlorid;mg/l;0,0005;0,0001;Vinylchlorid;mg/l;0,0005;0,0001;Vinylchlorid;mg/l;0,0005;0,0001;Vinylchlorid;mg/l;0,0005;0,0001;Vinylchlorid;mg/l;0,0005;<0,0001;Vinylchlorid;mg/l;0,0005;0,0001
86;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;<0,01;Aluminium;mg/l;0,20;<0,01
87;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;<0,05;Ammonium;mg/l;0,50;<0,05
88;Chlorid;mg/l;250;51;Chlorid;mg/l;250;90;Chlorid;mg/l;250;49;Chlorid;mg/l;250;43;Chlorid;mg/l;250;44;Chlorid;mg/l;250;47;Chlorid;mg/l;250;62;Chlorid;mg/l;250;44
89;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;<0,03;Eisen;mg/l;0,20;<0,03
90;Färbung;1/m;0,50;0,30;Färbung;1/m;0,50;0,24;Färbung;1/m;0,50;0,29;Färbung;1/m;0,50;0,41;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,20;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,28
91;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;<0,005;Mangan;mg/l;0,050;<0,005
92;Natrium;mg/l;200;34;Natrium;mg/l;200;66;Natrium;mg/l;200;36;Natrium;mg/l;200;29;Natrium;mg/l;200;28;Natrium;mg/l;200;24;Natrium;mg/l;200;46;Natrium;mg/l;200;33
93;Sulfat;mg/l;250;176;Sulfat;mg/l;250;150;Sulfat;mg/l;250;103;Sulfat;mg/l;250;66;Sulfat;mg/l;250;69;Sulfat;mg/l;250;107;Sulfat;mg/l;250;101;Sulfat;mg/l;250;98
94;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;<0,20;Trübung;NTU;1,00;<0,20
95;freie Kohlensäure;mg/l;;;freie Kohlensäure;mg/l;;;freie Kohlensäure;mg/l;;;freie Kohlensäure;mg/l;;;freie Kohlensäure;mg/l;;;freie Kohlensäure;mg/l;;;freie Kohlensäure;mg/l;;11.9;freie Kohlensäure;mg/l;;11.9
96;Kieselsäure (SiO2);mg/l;;;Kieselsäure (SiO2);mg/l;;;Kieselsäure (SiO2);mg/l;;;Kieselsäure (SiO2);mg/l;;;Kieselsäure (SiO2);mg/l;;;Kieselsäure (SiO2);mg/l;;;Kieselsäure (SiO2);mg/l;;21;Kieselsäure (SiO2);mg/l;;21
97;SAK 254nm;mg/l;;;SAK 254nm;mg/l;;;SAK 254nm;mg/l;;;SAK 254nm;mg/l;;;SAK 254nm;mg/l;;;SAK 254nm;mg/l;;;SAK 254nm;mg/l;;7.9;SAK 254nm;mg/l;;7.9
98;1,1,1-Trichlorethan;µg/l;3;0,5;1,1,1-Trichlorethan;µg/l;3;0,5;1,1,1-Trichlorethan;µg/l;3;0,5;1,1,1-Trichlorethan;µg/l;3;0,5;1,1,1-Trichlorethan;µg/l;3;0,5;1,1,1-Trichlorethan;µg/l;3;0,5;1,1,1-Trichlorethan;µg/l;3;<0,5;1,1,1-Trichlorethan;µg/l;3;<0,5
99;Toluen;µg/l;0,3;0,5;Toluen;µg/l;0,3;0,5;Toluen;µg/l;0,3;0,5;Toluen;µg/l;0,3;0,5;Toluen;µg/l;0,3;0,5;Toluen;µg/l;0,3;0,5;Toluen;µg/l;0,3;<0,5;Toluen;µg/l;0,3;<0,5
100;1,2,3-Trichlorbenzen;µg/l;0,10;0,10;1,2,3-Trichlorbenzen;µg/l;0,10;0,10;1,2,3-Trichlorbenzen;µg/l;0,10;0,10;1,2,3-Trichlorbenzen;µg/l;0,10;0,10;1,2,3-Trichlorbenzen;µg/l;0,10;0,10;1,2,3-Trichlorbenzen;µg/l;0,10;0,5;1,2,3-Trichlorbenzen;µg/l;0,10;<0,10;1,2,3-Trichlorbenzen;µg/l;0,10;<0,10
101;1,2,4-Trichlorbenzen;µg/l;0,10;0,10;1,2,4-Trichlorbenzen;µg/l;0,10;0,10;1,2,4-Trichlorbenzen;µg/l;0,10;0,10;1,2,4-Trichlorbenzen;µg/l;0,10;0,10;1,2,4-Trichlorbenzen;µg/l;0,10;0,10;1,2,4-Trichlorbenzen;µg/l;0,10;0,5;1,2,4-Trichlorbenzen;µg/l;0,10;<0,10;1,2,4-Trichlorbenzen;µg/l;0,10;<0,10
102;1,3,5-Trichlorbenzen;µg/l;0,10;0,10;1,3,5-Trichlorbenzen;µg/l;0,10;0,10;1,3,5-Trichlorbenzen;µg/l;0,10;0,10;1,3,5-Trichlorbenzen;µg/l;0,10;0,10;1,3,5-Trichlorbenzen;µg/l;0,10;0,10;1,3,5-Trichlorbenzen;µg/l;0,10;0,5;1,3,5-Trichlorbenzen;µg/l;0,10;<0,10;1,3,5-Trichlorbenzen;µg/l;0,10;<0,10
103;1,2,3,5-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,5-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,5-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,5-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,5-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,5-Tetrachlorbenzen;µg/l;0,10;0,5;1,2,3,5-Tetrachlorbenzen;µg/l;0,10;<0,01;1,2,3,5-Tetrachlorbenzen;µg/l;0,10;<0,10
104;1,2,3,4-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,4-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,4-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,4-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,4-Tetrachlorbenzen;µg/l;0,10;0,01;1,2,3,4-Tetrachlorbenzen;µg/l;0,10;0,5;1,2,3,4-Tetrachlorbenzen;µg/l;0,10;<0,01;1,2,3,4-Tetrachlorbenzen;µg/l;0,10;<0,01
105;Pentachlorbenzen;µg/l;0,10;0,01;Pentachlorbenzen;µg/l;0,10;0,01;Pentachlorbenzen;µg/l;0,10;0,01;Pentachlorbenzen;µg/l;0,10;0,01;Pentachlorbenzen;µg/l;0,10;0,01;Pentachlorbenzen;µg/l;0,10;0,5;Pentachlorbenzen;µg/l;0,10;<0,01;Pentachlorbenzen;µg/l;0,10;<0,01
106;Hexachlorbenzen;µg/l;0,10;0,01;Hexachlorbenzen;µg/l;0,10;0,01;Hexachlorbenzen;µg/l;0,10;0,01;Hexachlorbenzen;µg/l;0,10;0,01;Hexachlorbenzen;µg/l;0,10;0,01;Hexachlorbenzen;µg/l;0,10;0,5;Hexachlorbenzen;µg/l;0,10;<0,01;Hexachlorbenzen;µg/l;0,10;<0,01
107;Pentachloranisol;µg/l;0,10;0,01;Pentachloranisol;µg/l;0,10;0,01;Pentachloranisol;µg/l;0,10;0,01;Pentachloranisol;µg/l;0,10;0,01;Pentachloranisol;µg/l;0,10;0,01;Pentachloranisol;µg/l;0,10;0,5;Pentachloranisol;µg/l;0,10;<0,01;Pentachloranisol;µg/l;0,10;<0,01
108;EDTA;µg/l;10;5,3;EDTA;µg/l;10;8,8;EDTA;µg/l;10;5,1;EDTA;µg/l;10;2;EDTA;µg/l;10;2;EDTA;µg/l;10;2;EDTA;µg/l;10;<2;EDTA;µg/l;10;<2
109;Benzotriazol;µg/l;3;0,050;Benzotriazol;µg/l;3;0,050;Benzotriazol;µg/l;3;0,28;Benzotriazol;µg/l;3;0,050;Benzotriazol;µg/l;3;0,050;Benzotriazol;µg/l;3;0,050;Benzotriazol;µg/l;3;0,050;Benzotriazol;µg/l;3;<0,050
110;Tolyltriazole;µg/l;3;0,025;Tolyltriazole;µg/l;3;0,10;Tolyltriazole;µg/l;3;0,10;Tolyltriazole;µg/l;3;0,025;Tolyltriazole;µg/l;3;0,025;Tolyltriazole;µg/l;3;0,025;Tolyltriazole;µg/l;3;0,11;Tolyltriazole;µg/l;3;0,030
111;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;0,01;Aluminium;mg/l;0,20;<0,01;Aluminium;mg/l;0,20;<0,01
112;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;0,05;Ammonium;mg/l;0,50;<0,05;Ammonium;mg/l;0,50;<0,05
113;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;0,03;Eisen;mg/l;0,20;<0,03;Eisen;mg/l;0,20;<0,03
114;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,26;Färbung;1/m;0,50;0,26
115;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;0,005;Mangan;mg/l;0,050;<0,005;Mangan;mg/l;0,050;<0,005
116;Natrium;mg/l;200;46;Natrium;mg/l;200;46;Natrium;mg/l;200;46;Natrium;mg/l;200;46;Natrium;mg/l;200;46;Natrium;mg/l;200;46;Natrium;mg/l;200;46;Natrium;mg/l;200;46
117;Sulfat;mg/l;250;101;Sulfat;mg/l;250;101;Sulfat;mg/l;250;101;Sulfat;mg/l;250;101;Sulfat;mg/l;250;101;Sulfat;mg/l;250;101;Sulfat;mg/l;250;101;Sulfat;mg/l;250;101
118;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;0,20;Trübung;NTU;1,00;<0,20;Trübung;NTU;1,00;<0,20
119;Tris-(chlorisopropyl)phosphat;µg/l;1;0,10;Tris-(chlorisopropyl)phosphat;µg/l;1;0,10;Tris-(chlorisopropyl)phosphat;µg/l;1;0,10;Tris-(chlorisopropyl)phosphat;µg/l;1;0,10;Tris-(chlorisopropyl)phosphat;µg/l;1;0,10;Tris-(chlorisopropyl)phosphat;µg/l;1;0,10;Tris-(chlorisopropyl)phosphat;µg/l;1;<0,10;Tris-(chlorisopropyl)phosphat;µg/l;1;<0,10
120;MTBE;µg/l;1;0,05;MTBE;µg/l;1;0,59;MTBE;µg/l;1;0,06;MTBE;µg/l;1;0,04;MTBE;µg/l;1;0,05;MTBE;µg/l;1;0,03;MTBE;µg/l;1;<0,03;MTBE;µg/l;1;<0,03
121;PFOA;µg/l;0,3;0,01;PFOA;µg/l;0,3;0,01;PFOA;µg/l;0,3;0,01;PFOA;µg/l;0,3;0,01;PFOA;µg/l;0,3;0,01;PFOA;µg/l;0,3;0,01;PFOA;µg/l;0,3;<0,01;PFOA;µg/l;0,3;<0,01
122;PFOS;µg/l;0,3;0,05;PFOS;µg/l;0,3;0,05;PFOS;µg/l;0,3;0,05;PFOS;µg/l;0,3;0,05;PFOS;µg/l;0,3;0,05;PFOS;µg/l;0,3;0,05;PFOS;µg/l;0,3;<0,05;PFOS;µg/l;0,3;<0,05
123;Atenolol;µg/l;0,1;0,03;Atenolol;µg/l;0,1;0,03;Atenolol;µg/l;0,1;0,03;Atenolol;µg/l;0,1;0,03;Atenolol;µg/l;0,1;0,03;Atenolol;µg/l;0,1;0,03;Atenolol;µg/l;0,1;<0,03;Atenolol;µg/l;0,1;<0,03
124;Diclofenac;µg/l;0,3;0,025;Diclofenac;µg/l;0,3;0,025;Diclofenac;µg/l;0,3;0,025;Diclofenac;µg/l;0,3;0,025;Diclofenac;µg/l;0,3;0,025;Diclofenac;µg/l;0,3;0,025;Diclofenac;µg/l;0,3;<0,025;Diclofenac;µg/l;0,3;<0,025
125;Phenazon*;µg/l;0,3;0,03;Phenazon*;µg/l;0,3;0,12;Phenazon*;µg/l;0,3;0,08;Phenazon*;µg/l;0,3;0,14;Phenazon*;µg/l;0,3;0,08;Phenazon*;µg/l;0,3;0,02;Phenazon*;µg/l;0,3;0,07;Phenazon*;µg/l;0,3;0,08
